,SMILES,liv,lun,sto,mgl,liv_reliability,lun_reliability,sto_reliability,mgl_reliability
84,CCCCCCCCCCN(C)N=O,1.0,1.0,1.0,0.0,explicit,explicit,explicit,implicit
85,CCCCCCCCN(C)N=O,1.0,1.0,1.0,0.0,explicit,explicit,explicit,implicit
86,CCCCCCCN(C)N=O,1.0,1.0,1.0,0.0,explicit,explicit,explicit,implicit
87,CCCCCCN(C)N=O,1.0,1.0,1.0,0.0,explicit,explicit,explicit,implicit
88,CCCCCN(C)N=O,1.0,1.0,1.0,0.0,explicit,explicit,explicit,implicit
89,CCCCN(C(=O)N)N=O,1.0,1.0,1.0,1.0,explicit,explicit,explicit,explicit
90,CCCCN(C)N=O,1.0,1.0,1.0,0.0,explicit,explicit,explicit,implicit
91,CCCCN(CCCC)N,1.0,1.0,1.0,0.0,explicit,explicit,explicit,implicit
92,CCCCN(CCCC)N=O,1.0,1.0,1.0,0.0,explicit,explicit,explicit,implicit
93,CCCCOCCO,1.0,0.0,1.0,0.0,explicit,implicit,explicit,implicit
94,CCCN(C(=O)N)N=O,1.0,0.0,1.0,0.0,explicit,implicit,explicit,implicit
95,CCCN(CCC)C1=C(C=C(C=C1[N+](=O)[O-])C(F)(F)F)[N+](=O)[O-],1.0,1.0,1.0,0.0,explicit,explicit,explicit,implicit
96,CCN(C(=O)N)N=O,1.0,1.0,1.0,1.0,explicit,explicit,explicit,explicit
97,CCN(C(=O)NCC(=O)C)N=O,1.0,1.0,1.0,1.0,explicit,explicit,explicit,explicit
98,CCN(CC)N=O,1.0,1.0,1.0,0.0,explicit,explicit,explicit,explicit
99,CCN=[N+](CC)[O-],1.0,0.0,0.0,1.0,explicit,implicit,implicit,explicit
100,CCNC(=O)N(CCO)N=O,1.0,1.0,0.0,1.0,explicit,explicit,implicit,explicit
101,CCNC(=O)NC1=NC=C(S1)[N+](=O)[O-],1.0,0.0,0.0,1.0,explicit,implicit,implicit,explicit
102,CCNC1=NC(=NC(=N1)Cl)NC(C)(C)C#N,0.0,0.0,0.0,1.0,explicit,implicit,implicit,explicit
103,CCOC(=O)N,1.0,1.0,1.0,1.0,explicit,explicit,explicit,explicit
104,CCOC1=CC=C(C=C1)NC(=O)C,0.0,0.0,1.0,1.0,explicit,explicit,explicit,explicit
105,CC[C@H](C)C(=O)O[C@H]1C[C@H](C=C2[C@H]1[C@H]([C@H](C=C2)C)CC[C@@H]3C[C@H](CC(=O)O3)O)C,1.0,1.0,1.0,0.0,explicit,explicit,explicit,implicit
106,CN(/C(=N/[N+](=O)[O-])/N)N=O,1.0,1.0,1.0,0.0,explicit,explicit,explicit,implicit
107,CN(C)C(=O)NC1=CC(=C(C=C1)Cl)Cl,0.0,0.0,0.0,1.0,explicit,explicit,implicit,explicit
108,CN(C1=CC=CC=C1)N=O,1.0,1.0,1.0,0.0,explicit,explicit,explicit,implicit
109,CN1C2=C(C3=C(C=C2)N=CC=C3)N=C1N,1.0,1.0,1.0,1.0,explicit,explicit,explicit,explicit
110,CN1C2=C(N=CC(=C2)C3=CC=CC=C3)N=C1N,1.0,0.0,0.0,1.0,explicit,implicit,implicit,explicit
111,CNNC,1.0,1.0,1.0,0.0,explicit,explicit,explicit,implicit
112,COC1=CC(=C(C=C1)OC)/C=C/C2=CC=C(C=C2)N,1.0,1.0,1.0,0.0,explicit,explicit,explicit,implicit
113,COP(=O)(OC)OC=C(Cl)Cl,0.0,0.0,1.0,1.0,explicit,implicit,explicit,explicit
114,CO[P+](=O)OC,0.0,1.0,1.0,0.0,explicit,explicit,explicit,implicit
115,C[C@@H]1CC2=C(C=C(C(=C2C(=O)O1)O)C(=O)NC(CC3=CC=CC=C3)C(=O)O)Cl,1.0,0.0,0.0,1.0,explicit,implicit,implicit,explicit
116,C[C@@H]1CC2=C(C=C(C(=C2C(=O)O1)O)C(=O)N[C@@H](CC3=CC=CC=C3)C(=O)O)Cl,1.0,0.0,0.0,1.0,explicit,implicit,implicit,explicit
117,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@]2(C#C)O)CCC4=C3C=CC(=C4)OC,0.0,0.0,0.0,1.0,explicit,implicit,implicit,explicit
118,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@]2(C#C)O)CCC4=C3CCC(=O)C4,1.0,0.0,0.0,1.0,explicit,implicit,implicit,explicit
119,C[N+](=O)[O-],1.0,1.0,0.0,1.0,explicit,explicit,implicit,explicit
120,NN,1.0,1.0,1.0,0.0,explicit,explicit,explicit,implicit
121,C([C@H]([C@H]([C@@H]([C@@H](CBr)O)O)O)O)Br,0.0,1.0,0.0,1.0,implicit,explicit,implicit,explicit
122,C1=C(C(=O)NC(=O)N1)N(CCCl)CCCl,0.0,1.0,0.0,1.0,implicit,explicit,implicit,explicit
123,C1=C(OC(=C1)[N+](=O)[O-])/C=N/NC(=O)N,0.0,1.0,0.0,1.0,implicit,explicit,implicit,explicit
124,C1=C(OC(=C1)[N+](=O)[O-])C2=CSC(=N2)NC=O,0.0,1.0,1.0,1.0,implicit,explicit,explicit,explicit
125,C1=C(OC(=C1)[N+](=O)[O-])C2=NN=C(O2)N,0.0,1.0,1.0,1.0,implicit,explicit,explicit,explicit
126,C1=C(OC(=C1)[N+](=O)[O-])C2=NN=C(S2)N,0.0,1.0,1.0,1.0,implicit,explicit,explicit,explicit
127,C1=C(SC(=N1)N)[N+](=O)[O-],0.0,1.0,0.0,1.0,implicit,explicit,implicit,explicit
128,C1=CC(=C(C=C1/C=C/C(=O)O)O)O,0.0,1.0,1.0,0.0,implicit,explicit,explicit,implicit
129,C1=CC(=C(C=C1C=CC(=O)O)O)O,0.0,1.0,1.0,0.0,implicit,explicit,explicit,implicit
130,C1=CC(=CC=C1CCCC(=O)O)N(CCCl)CCCl,0.0,1.0,0.0,1.0,implicit,explicit,implicit,explicit
131,C1=CC2=C3C(=C1)C=CC4=C(C=CC(=C43)C=C2)[N+](=O)[O-],0.0,1.0,0.0,1.0,implicit,explicit,implicit,explicit
132,C1=CC2=C3C(=C1)C=CC4=C3C(=CC5=C4[C@@H]6[C@@H](O6)[C@H]([C@@H]5O)O)C=C2,0.0,1.0,0.0,1.0,implicit,explicit,implicit,explicit
133,C1=CC=C(C=C1)C(Cl)(Cl)Cl,0.0,1.0,1.0,0.0,implicit,explicit,explicit,implicit
134,C1=NC(=NC(=O)N1[C@H]2[C@@H]([C@@H]([C@H](O2)CO)O)O)N,0.0,1.0,0.0,1.0,implicit,explicit,implicit,explicit
135,C1CN(C(=O)N1)C2=NC=C(S2)[N+](=O)[O-],0.0,1.0,1.0,1.0,implicit,explicit,explicit,explicit
136,C1CO1,0.0,1.0,1.0,1.0,implicit,explicit,explicit,explicit
137,C=CC(=O)N,0.0,1.0,0.0,1.0,implicit,explicit,implicit,explicit
138,CC1CN(CC(N1C)C)N=O,0.0,1.0,1.0,0.0,implicit,explicit,explicit,implicit
139,CCCCCCN(C(=O)N)N=O,0.0,1.0,1.0,1.0,implicit,explicit,explicit,explicit
140,CCN(C(=O)NC)N=O,0.0,1.0,0.0,1.0,implicit,explicit,implicit,explicit
141,CCN(CC)C(=S)SCC(=C)Cl,0.0,1.0,1.0,1.0,implicit,explicit,explicit,explicit
142,CCOC(=O)N(C)N=O,0.0,1.0,1.0,0.0,implicit,explicit,explicit,implicit
143,CN(C)/C=N/C1=NN=C(O1)/C=C/C2=CC=C(O2)[N+](=O)[O-],0.0,1.0,1.0,1.0,implicit,explicit,explicit,explicit
144,CN(C)/N=N/C1=C(NC=N1)C(=O)N,0.0,1.0,0.0,1.0,implicit,explicit,implicit,explicit
145,CN(C)N=NC1=C(NC=N1)C(=O)N,0.0,1.0,0.0,1.0,implicit,explicit,implicit,explicit
146,CN(C1=NC=NC2=C1NC=N2)N=O,0.0,1.0,0.0,1.0,implicit,explicit,implicit,explicit
147,C[C@@H]([C@H]1CC[C@@]2([C@@]1(CC[C@H]3C2=CC(=O)[C@H]4[C@@]3(C[C@@H]([C@@H](C4)O)O)C)C)O)[C@@H](CCC(C)(C)O)O,0.0,1.0,0.0,1.0,implicit,explicit,implicit,explicit
148,C(#N)C1=C(C(=C(C(=C1Cl)Cl)Cl)C#N)Cl,0.0,0.0,1.0,0.0,implicit,implicit,explicit,implicit
149,C/C=C/Cl,0.0,0.0,1.0,0.0,implicit,implicit,explicit,implicit
150,C1=C(OC(=C1)[N+](=O)[O-])C2=CSC(=N2)N,0.0,0.0,1.0,0.0,implicit,implicit,explicit,implicit
151,C1=CC(=C(C=C1Cl)N)O,0.0,0.0,1.0,0.0,implicit,implicit,explicit,implicit
152,C1C(O1)COC2=CC(=CC=C2)OCC3CO3,0.0,0.0,1.0,0.0,implicit,implicit,explicit,implicit
153,C1CN(CCN1N=O)N=O,0.0,0.0,1.0,0.0,implicit,implicit,explicit,implicit
154,C=CCCl,0.0,0.0,1.0,0.0,implicit,implicit,explicit,implicit
155,CC(C1OCC(O1)CO)I,0.0,0.0,1.0,0.0,implicit,implicit,explicit,implicit
156,CC(CN(CC(CO)O)N=O)O,0.0,0.0,1.0,0.0,implicit,implicit,explicit,implicit
157,CC1=CC(=C(C=C1)O)O,0.0,0.0,1.0,0.0,implicit,implicit,explicit,implicit
158,CC=CCl,0.0,0.0,1.0,0.0,implicit,implicit,explicit,implicit
